lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.3.0,BinaryTrees,16,8.650581121444702,1.3062669933532658e-06,5.567941831390063e-06
Lua 5.3.0,BinaryTrees,16,8.651236772537231,1.3099160725788562e-06,5.58349597228898e-06
Lua 5.3.0,BinaryTrees,16,8.608747005462646,1.2750179185832223e-06,5.434743158002695e-06
Lua 5.3.0,BinaryTrees,16,8.602099895477295,1.283730561530205e-06,5.471880656977494e-06
Lua 5.3.0,BinaryTrees,16,8.642668962478638,1.2959820651080029e-06,5.524102491882112e-06
Lua 5.3.0,BinaryTrees,16,8.616412162780762,1.277727545327354e-06,5.446292897966173e-06
Lua 5.3.0,BinaryTrees,16,8.63883900642395,1.2916149595489483e-06,5.505487775405248e-06
Lua 5.3.0,BinaryTrees,16,8.63658595085144,1.284866273884983e-06,5.476721612433592e-06
Lua 5.3.0,BinaryTrees,16,8.586826086044312,1.2602067615631986e-06,5.371610841896799e-06
Lua 5.3.0,BinaryTrees,16,8.541555881500244,1.5045135112115208e-06,6.412964392112362e-06
Lua 5.3.0,Fannkuch,11,55.426494121551514,3.852009401404929e-05,0.0001641912747556501
Lua 5.3.0,Fannkuch,11,55.155369997024536,3.4764197189408365e-05,0.00014818182557664315
Lua 5.3.0,Fannkuch,11,55.47303795814514,4.116318921857536e-05,0.0001754574251127442
Lua 5.3.0,Fannkuch,11,55.225537061691284,3.402249391352972e-05,0.00014502032741642214
Lua 5.3.0,Fannkuch,11,55.16135287284851,3.412255176983417e-05,0.00014544682240290774
Lua 5.3.0,Fannkuch,11,55.67281794548035,3.9605551172576456e-05,0.00016881801825441254
Lua 5.3.0,Fannkuch,11,55.156888008117676,3.402707104946681e-05,0.00014503983738397224
Lua 5.3.0,Fannkuch,11,55.48695921897888,4.1109648451543664e-05,0.0001752292084633476
Lua 5.3.0,Fannkuch,11,55.21061086654663,3.4034105731987476e-05,0.00014506982260389792
Lua 5.3.0,Fannkuch,11,55.05487418174744,3.382340094415508e-05,0.0001441716968698667
Lua 5.3.0,Fasta,2500000,11.064413785934448,2.6290893328613074e-06,1.1206450556728575e-05
Lua 5.3.0,Fasta,2500000,11.571037769317627,4.703038156844805e-06,2.0046623715798062e-05
Lua 5.3.0,Fasta,2500000,11.565801858901978,4.500756510023157e-06,1.918440148344305e-05
Lua 5.3.0,Fasta,2500000,11.027819871902466,2.5753567392062684e-06,1.0977416249467268e-05
Lua 5.3.0,Fasta,2500000,11.089576959609985,2.561442122299934e-06,1.091810542102655e-05
Lua 5.3.0,Fasta,2500000,11.082005023956299,2.5676182400984806e-06,1.0944431022776499e-05
